place,month,month.name,period,period.name,nb
Lund,4,april,1,2015,30
Lund,5,maj,1,2015,60
Lund,6,juni,1,2015,45
Lund,7,juli,1,2015,36
Lund,8,augusti,1,2015,61
Lund,9,september,1,2015,77
Visby,4,april,1,2015,32
Visby,5,maj,1,2015,53
Visby,6,juni,1,2015,47
Visby,7,juli,1,2015,34
Visby,8,augusti,1,2015,21
Visby,9,september,1,2015,58
Stockholm,4,april,1,2015,12
Stockholm,5,maj,1,2015,107
Stockholm,6,juni,1,2015,59
Stockholm,7,juli,1,2015,92
Stockholm,8,augusti,1,2015,17
Stockholm,9,september,1,2015,112
Umeå,4,april,1,2015,13
Umeå,5,maj,1,2015,94
Umeå,6,juni,1,2015,49
Umeå,7,juli,1,2015,91
Umeå,8,augusti,1,2015,18
Umeå,9,september,1,2015,79
Östersund,4,april,1,2015,25
Östersund,5,maj,1,2015,83
Östersund,6,juni,1,2015,62
Östersund,7,juli,1,2015,118
Östersund,8,augusti,1,2015,44
Östersund,9,september,1,2015,51
Abisko,4,april,1,2015,24
Abisko,5,maj,1,2015,45
Abisko,6,juni,1,2015,41
Abisko,7,juli,1,2015,65
Abisko,8,augusti,1,2015,11
Abisko,9,september,1,2015,54
Göteborg,4,april,1,2015,57
Göteborg,5,maj,1,2015,121
Göteborg,6,juni,1,2015,61
Göteborg,7,juli,1,2015,97
Göteborg,8,augusti,1,2015,95
Göteborg,9,september,1,2015,84
Örebro,4,april,1,2015,6
Örebro,5,maj,1,2015,105
Örebro,6,juni,1,2015,26
Örebro,7,juli,1,2015,144
Örebro,8,augusti,1,2015,40
Örebro,9,september,1,2015,96
