place,month,month.name,period,period.name,nb
Lund,4,april,2,1961-1990,40
Lund,5,maj,2,1961-1990,45
Lund,6,juni,2,1961-1990,56
Lund,7,juli,2,1961-1990,70
Lund,8,augusti,2,1961-1990,65
Lund,9,september,2,1961-1990,64
Visby,4,april,2,1961-1990,29
Visby,5,maj,2,1961-1990,29
Visby,6,juni,2,1961-1990,31
Visby,7,juli,2,1961-1990,49
Visby,8,augusti,2,1961-1990,50
Visby,9,september,2,1961-1990,59
Stockholm,4,april,2,1961-1990,30
Stockholm,5,maj,2,1961-1990,30
Stockholm,6,juni,2,1961-1990,45
Stockholm,7,juli,2,1961-1990,72
Stockholm,8,augusti,2,1961-1990,66
Stockholm,9,september,2,1961-1990,55
Umeå,4,april,2,1961-1990,30
Umeå,5,maj,2,1961-1990,38
Umeå,6,juni,2,1961-1990,41
Umeå,7,juli,2,1961-1990,54
Umeå,8,augusti,2,1961-1990,75
Umeå,9,september,2,1961-1990,69
Östersund,4,april,2,1961-1990,31
Östersund,5,maj,2,1961-1990,37
Östersund,6,juni,2,1961-1990,56
Östersund,7,juli,2,1961-1990,78
Östersund,8,augusti,2,1961-1990,62
Östersund,9,september,2,1961-1990,65
Abisko,4,april,2,1961-1990,12
Abisko,5,maj,2,1961-1990,13
Abisko,6,juni,2,1961-1990,22
Abisko,7,juli,2,1961-1990,54
Abisko,8,augusti,2,1961-1990,45
Abisko,9,september,2,1961-1990,23
Göteborg,4,april,2,1961-1990,41
Göteborg,5,maj,2,1961-1990,49
Göteborg,6,juni,2,1961-1990,59
Göteborg,7,juli,2,1961-1990,68
Göteborg,8,augusti,2,1961-1990,75
Göteborg,9,september,2,1961-1990,80
Örebro,4,april,2,1961-1990,38
Örebro,5,maj,2,1961-1990,43
Örebro,6,juni,2,1961-1990,51
Örebro,7,juli,2,1961-1990,77
Örebro,8,augusti,2,1961-1990,69
Örebro,9,september,2,1961-1990,73
