place,month,month.name,period,period.name,temp
Lund,4,april,1,2015,7.9
Lund,5,maj,1,2015,10.7
Lund,6,juni,1,2015,14.2
Lund,7,juli,1,2015,17.3
Lund,8,augusti,1,2015,18.6
Lund,9,september,1,2015,13.8
Visby,4,april,1,2015,5.9
Visby,5,maj,1,2015,9.5
Visby,6,juni,1,2015,13.5
Visby,7,juli,1,2015,16.3
Visby,8,augusti,1,2015,17.2
Visby,9,september,1,2015,13.6
Stockholm,4,april,1,2015,7.4
Stockholm,5,maj,1,2015,10.2
Stockholm,6,juni,1,2015,14.5
Stockholm,7,juli,1,2015,17
Stockholm,8,augusti,1,2015,18.2
Stockholm,9,september,1,2015,13.5
Umeå,4,april,1,2015,4
Umeå,5,maj,1,2015,7.2
Umeå,6,juni,1,2015,11.6
Umeå,7,juli,1,2015,14.4
Umeå,8,augusti,1,2015,15.2
Umeå,9,september,1,2015,11
Östersund,4,april,1,2015,2.5
Östersund,5,maj,1,2015,6.1
Östersund,6,juni,1,2015,9.3
Östersund,7,juli,1,2015,12.4
Östersund,8,augusti,1,2015,14.4
Östersund,9,september,1,2015,10.1
Abisko,4,april,1,2015,0
Abisko,5,maj,1,2015,3.3
Abisko,6,juni,1,2015,7
Abisko,7,juli,1,2015,10.8
Abisko,8,augusti,1,2015,12.6
Abisko,9,september,1,2015,8.1
Göteborg,4,april,1,2015,7.8
Göteborg,5,maj,1,2015,10.3
Göteborg,6,juni,1,2015,14.2
Göteborg,7,juli,1,2015,17.1
Göteborg,8,augusti,1,2015,18.6
Göteborg,9,september,1,2015,14
Örebro,4,april,1,2015,7.5
Örebro,5,maj,1,2015,9.6
Örebro,6,juni,1,2015,14.2
Örebro,7,juli,1,2015,16.6
Örebro,8,augusti,1,2015,16.8
Örebro,9,september,1,2015,12.7
