id|site|sitetype|species
56|Mallgårds Klint|T|44
390|Broknäs slinga 1, Bogesund|T|42
603|Horsakärr|T|41
178|Djäknabygd, Stenbrohult socken|T|40
569|L. Harsjön|T|38
733|Västertorp|T|38
678|Källsbäck, Södra Ny|T|37
206|Pelarbo|P|37
37|Lammakulla Mellangård|T|37
313|Västra Ringstad|T|36
535|Stormossen-Listrevägen|T|36
47|Russvätar|T|36
57|Russparkens vinterhage|T|35
63|Trunelän, Maglehem |T|35
221|Sulvik Lunden|P|35
756|Bjärkefall slinga|T|34
426|Lövåsen|T|34
124|Öventorp, Kvarnängen|T|33
620|Rosendalen|T|33
732|Sandåsen|P|33
412|Remmene skjutfält|T|31
255|Wij, Lindhagen|T|31
518|Blomsholm|T|30
704|Granstorp|P|30
222|Torstorpamon|T|30
576|Källbo|P|30
332|Mötesplats virkesupplag Hunneberg|P|30
32|Gamla Mörtforsvägen|T|29
464|Lönnbromossen|P|29
192|Stora Karsbo|T|29
387|Klören|T|29
708|Nasumemyr, Tofta skjutfält|T|28
331|Kalkvägen Ö Jonstorpsmossen Ringvägen Hunneberg|P|28
330|Ransäter Arboga|T|28
894|Broarna runt|T|28
225|Stenkumla Kube|T|28
803|Fjärilsstigen, Uppsala|T|27
250|Sångkärrsbacken|P|27
522|Hågadalen|T|27
462|Hunneröds mosse|T|27
785|Ranebolund|T|27
453|Viksberget|P|27
185|Visby Kungsladugårdshällarna|T|27
525|Mångeln syd|P|27
6|Rökepipan|T|27
746|Solmora|P|27
757|Ryr |T|27
352|Bäcktorpet, Torphyttan|P|26
591|Penarp|T|26
441|Åsenslingan|T|26
19|Vankiva skola|T|26
153|Skogsmuren, Ramnäs|T|25
463|Läkärret|P|25
27|Bredavik 19:32 (Sturkö)|P|25
422|Barum 2:12|P|25
373|Svartsjö-Sörstugan|T|25
888|Båstorp, Ale|T|25
262|Resåkra|P|24
758|Stenbacken, Vistorp|T|24
45|Rone Domerarve|T|23
760|Åsle mosse, Åsle|T|23
524|Gamla grustaget, Norrhult|P|23
259|Bakvattnet 402|T|23
111|Slite motionsslinga|T|23
626|Högbergets gamla slalombacke|P|23
572|Ahrs Fiskeläge|T|23
235|Grindtorpet|P|23
154|Hemdalsvägen|T|23
608|Västra Ringstad, slinga 3|T|23
612|Lubbåsen|T|23
34|Hunshult 3|P|22
193|Gripenbergsgatan, Norrängen|P|22
499|Killerödsvägen|T|22
579|Åbacken|P|22
215|Tripphult|T|22
735|Heden Stenshuvud|T|22
146|Bastbolvägen 15, Husby-Långhundra, Knvista|P|22
249|Norrgården|P|22
774|Skår-Myren|T|22
529|Enehusa|P|22
420|Västra Ringstad, slinga 2|T|22
845|Ranebo |T|21
39|Jordtorpsåsen|T|21
711|Äskebäskan|T|21
367|Utterbäcksvägen 9|P|21
521|Vallsjöbäcken|T|21
160|Kniva 253|P|21
