id|province|sitetype|sites
26|Sk|P|46
26|Sk|T|63
27|Bl|P|25
27|Bl|T|3
28|Ha|P|4
28|Ha|T|7
29|Sm|P|18
29|Sm|T|6
30|Öl|P|2
30|Öl|T|1
31|Go|P|14
31|Go|T|18
32|Ög|P|11
32|Ög|T|9
33|Vg|P|27
33|Vg|T|19
34|Bo|P|6
34|Bo|T|9
35|Ds|P|2
35|Ds|T|3
36|Nä|P|9
36|Nä|T|6
37|Sö|P|13
37|Sö|T|12
38|Up|P|22
38|Up|T|18
39|Vs|P|47
39|Vs|T|6
40|Vr|P|2
40|Vr|T|22
41|Dr|P|6
41|Dr|T|4
42|Gä|P|4
43|Hs|P|1
44|Me|P|1
45|Hr|P|1
46|Jä|P|4
46|Jä|T|6
47|Ån|P|1
48|Vb|P|4
48|Vb|T|4
49|Nb|P|5
49|Nb|T|5
51|Ly|T|1
52|Pi|P|1
53|Lu|P|1
53|Lu|T|1
